,DATUM_TIJDSTIP_2024,price_eur_per_kwh
0,2023-12-31 01:00:00+01:00,12.56
1,2023-12-31 01:00:00+01:00,12.56
2,2023-12-31 01:00:00+01:00,12.56
3,2023-12-31 01:00:00+01:00,12.56
4,2023-12-31 02:00:00+01:00,4.0
5,2023-12-31 02:00:00+01:00,4.0
6,2023-12-31 02:00:00+01:00,4.0
7,2023-12-31 02:00:00+01:00,4.0
8,2023-12-31 03:00:00+01:00,0.31
9,2023-12-31 03:00:00+01:00,0.31
10,2023-12-31 03:00:00+01:00,0.31
11,2023-12-31 03:00:00+01:00,0.31
12,2023-12-31 04:00:00+01:00,0.13
13,2023-12-31 04:00:00+01:00,0.13
14,2023-12-31 04:00:00+01:00,0.13
15,2023-12-31 04:00:00+01:00,0.13
16,2023-12-31 05:00:00+01:00,0.38
17,2023-12-31 05:00:00+01:00,0.38
18,2023-12-31 05:00:00+01:00,0.38
19,2023-12-31 05:00:00+01:00,0.38
20,2023-12-31 06:00:00+01:00,-0.41
21,2023-12-31 06:00:00+01:00,-0.41
22,2023-12-31 06:00:00+01:00,-0.41
23,2023-12-31 06:00:00+01:00,-0.41
24,2023-12-31 07:00:00+01:00,-0.38
25,2023-12-31 07:00:00+01:00,-0.38
26,2023-12-31 07:00:00+01:00,-0.38
27,2023-12-31 07:00:00+01:00,-0.38
28,2023-12-31 08:00:00+01:00,3.24
29,2023-12-31 08:00:00+01:00,3.24
30,2023-12-31 08:00:00+01:00,3.24
31,2023-12-31 08:00:00+01:00,3.24
32,2023-12-31 09:00:00+01:00,9.36
33,2023-12-31 09:00:00+01:00,9.36
34,2023-12-31 09:00:00+01:00,9.36
35,2023-12-31 09:00:00+01:00,9.36
36,2023-12-31 10:00:00+01:00,14.0
37,2023-12-31 10:00:00+01:00,14.0
38,2023-12-31 10:00:00+01:00,14.0
39,2023-12-31 10:00:00+01:00,14.0
40,2023-12-31 11:00:00+01:00,10.68
41,2023-12-31 11:00:00+01:00,10.68
42,2023-12-31 11:00:00+01:00,10.68
43,2023-12-31 11:00:00+01:00,10.68
44,2023-12-31 12:00:00+01:00,11.0
45,2023-12-31 12:00:00+01:00,11.0
46,2023-12-31 12:00:00+01:00,11.0
47,2023-12-31 12:00:00+01:00,11.0
48,2023-12-31 13:00:00+01:00,6.09
49,2023-12-31 13:00:00+01:00,6.09
50,2023-12-31 13:00:00+01:00,6.09
51,2023-12-31 13:00:00+01:00,6.09
52,2023-12-31 14:00:00+01:00,8.54
53,2023-12-31 14:00:00+01:00,8.54
54,2023-12-31 14:00:00+01:00,8.54
55,2023-12-31 14:00:00+01:00,8.54
56,2023-12-31 15:00:00+01:00,13.24
57,2023-12-31 15:00:00+01:00,13.24
58,2023-12-31 15:00:00+01:00,13.24
59,2023-12-31 15:00:00+01:00,13.24
60,2023-12-31 16:00:00+01:00,28.07
61,2023-12-31 16:00:00+01:00,28.07
62,2023-12-31 16:00:00+01:00,28.07
63,2023-12-31 16:00:00+01:00,28.07
64,2023-12-31 17:00:00+01:00,50.0
65,2023-12-31 17:00:00+01:00,50.0
66,2023-12-31 17:00:00+01:00,50.0
67,2023-12-31 17:00:00+01:00,50.0
68,2023-12-31 18:00:00+01:00,45.0
69,2023-12-31 18:00:00+01:00,45.0
70,2023-12-31 18:00:00+01:00,45.0
